Study Name	031-0101W_left
Sample Name	2024-01-05
Run Name	spot00
Operator	Elena
Date	1/5/2024
Time	13:26
Sign	NEG
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	72
dt	50.000001E-12
time stamp (ms)	2:39:22 PM
	
Time	Amplitude
0.000000E+0	-5.387215E-3
5.000000E-11	-5.464298E-3
1.000000E-10	-5.549945E-3
1.500000E-10	-5.558510E-3
2.000000E-10	-5.481427E-3
2.500000E-10	-5.438603E-3
3.000000E-10	-5.387215E-3
3.500000E-10	-5.224485E-3
4.000000E-10	-5.036061E-3
4.500000E-10	-4.933284E-3
5.000000E-10	-4.881896E-3
5.500000E-10	-4.821943E-3
6.000000E-10	-4.779119E-3
6.500000E-10	-4.796249E-3
7.000000E-10	-4.890461E-3
7.500000E-10	-5.027496E-3
8.000000E-10	-5.138838E-3
8.500000E-10	-5.241615E-3
9.000000E-10	-5.378650E-3
9.500000E-10	-5.507121E-3
1.000000E-9	-5.558510E-3
1.050000E-9	-5.601333E-3
1.100000E-9	-5.618463E-3
1.150000E-9	-5.549945E-3
1.200000E-9	-5.472862E-3
1.250000E-9	-5.455733E-3
1.300000E-9	-5.404345E-3
1.350000E-9	-5.318697E-3
1.400000E-9	-5.275874E-3
1.450000E-9	-5.267309E-3
1.500000E-9	-5.224485E-3
1.550000E-9	-5.173097E-3
1.600000E-9	-5.147403E-3
1.650000E-9	-5.130273E-3
1.700000E-9	-5.130273E-3
1.750000E-9	-5.078885E-3
1.800000E-9	-4.976108E-3
1.850000E-9	-4.907590E-3
1.900000E-9	-4.881896E-3
1.950000E-9	-4.787684E-3
2.000000E-9	-4.650648E-3
2.050000E-9	-4.590695E-3
2.100000E-9	-4.582130E-3
2.150000E-9	-4.522177E-3
2.200000E-9	-4.505048E-3
2.250000E-9	-4.599260E-3
2.300000E-9	-4.693472E-3
2.350000E-9	-4.727731E-3
2.400000E-9	-4.804813E-3
2.450000E-9	-4.967543E-3
2.500000E-9	-5.155967E-3
2.550000E-9	-5.293003E-3
2.600000E-9	-5.370086E-3
2.650000E-9	-5.481427E-3
2.700000E-9	-5.618463E-3
2.750000E-9	-5.661286E-3
2.800000E-9	-5.627027E-3
2.850000E-9	-5.652722E-3
2.900000E-9	-5.729804E-3
2.950000E-9	-5.721240E-3
3.000000E-9	-5.652722E-3
3.050000E-9	-5.635592E-3
3.100000E-9	-5.635592E-3
3.150000E-9	-5.601333E-3
3.200000E-9	-5.558510E-3
3.250000E-9	-5.567074E-3
3.300000E-9	-5.609898E-3
3.350000E-9	-5.652722E-3
3.400000E-9	-5.695545E-3
3.450000E-9	-5.755498E-3
3.500000E-9	-5.781193E-3
3.550000E-9	-5.755498E-3
3.600000E-9	-5.704110E-3
3.650000E-9	-5.695545E-3
3.700000E-9	-5.695545E-3
3.750000E-9	-5.609898E-3
3.800000E-9	-5.489992E-3
3.850000E-9	-5.430039E-3
3.900000E-9	-5.378650E-3
3.950000E-9	-5.241615E-3
4.000000E-9	-5.096014E-3
4.050000E-9	-5.027496E-3
4.100000E-9	-4.976108E-3
4.150000E-9	-4.881896E-3
4.200000E-9	-4.787684E-3
4.250000E-9	-4.736296E-3
4.300000E-9	-4.702037E-3
4.350000E-9	-4.650648E-3
4.400000E-9	-4.607825E-3
4.450000E-9	-4.642084E-3
4.500000E-9	-4.727731E-3
4.550000E-9	-4.761990E-3
4.600000E-9	-4.761990E-3
4.650000E-9	-4.847637E-3
4.700000E-9	-4.967543E-3
4.750000E-9	-5.010367E-3
4.800000E-9	-5.027496E-3
4.850000E-9	-5.104579E-3
4.900000E-9	-5.190226E-3
4.950000E-9	-5.215920E-3
5.000000E-9	-5.258744E-3
5.050000E-9	-5.361521E-3
5.100000E-9	-5.438603E-3
5.150000E-9	-5.455733E-3
5.200000E-9	-5.481427E-3
5.250000E-9	-5.515686E-3
5.300000E-9	-5.541380E-3
5.350000E-9	-5.489992E-3
5.400000E-9	-5.387215E-3
5.450000E-9	-5.310132E-3
5.500000E-9	-5.293003E-3
5.550000E-9	-5.241615E-3
5.600000E-9	-5.138838E-3
5.650000E-9	-5.061755E-3
5.700000E-9	-5.036061E-3
5.750000E-9	-5.001802E-3
5.800000E-9	-5.001802E-3
5.850000E-9	-5.096014E-3
5.900000E-9	-5.181662E-3
5.950000E-9	-5.198791E-3
6.000000E-9	-5.250179E-3
6.050000E-9	-5.378650E-3
6.100000E-9	-5.489992E-3
6.150000E-9	-5.507121E-3
6.200000E-9	-5.515686E-3
6.250000E-9	-5.532815E-3
6.300000E-9	-5.524251E-3
6.350000E-9	-5.481427E-3
6.400000E-9	-5.421474E-3
6.450000E-9	-5.352956E-3
6.500000E-9	-5.284438E-3
6.550000E-9	-5.215920E-3
6.600000E-9	-5.121708E-3
6.650000E-9	-5.053191E-3
6.700000E-9	-5.010367E-3
6.750000E-9	-4.933284E-3
6.800000E-9	-4.847637E-3
6.850000E-9	-4.830508E-3
6.900000E-9	-4.839072E-3
6.950000E-9	-4.787684E-3
7.000000E-9	-4.744860E-3
7.050000E-9	-4.770554E-3
7.100000E-9	-4.821943E-3
7.150000E-9	-4.813378E-3
7.200000E-9	-4.804813E-3
7.250000E-9	-4.881896E-3
7.300000E-9	-4.984673E-3
7.350000E-9	-5.001802E-3
7.400000E-9	-4.976108E-3
7.450000E-9	-5.001802E-3
7.500000E-9	-5.053191E-3
7.550000E-9	-5.044626E-3
7.600000E-9	-5.018932E-3
7.650000E-9	-5.036061E-3
7.700000E-9	-5.070320E-3
7.750000E-9	-5.061755E-3
7.800000E-9	-5.036061E-3
7.850000E-9	-5.044626E-3
7.900000E-9	-5.087449E-3
7.950000E-9	-5.130273E-3
8.000000E-9	-5.155967E-3
8.050000E-9	-5.233050E-3
8.100000E-9	-5.352956E-3
8.150000E-9	-5.421474E-3
8.200000E-9	-5.421474E-3
8.250000E-9	-5.447168E-3
8.300000E-9	-5.489992E-3
8.350000E-9	-5.464298E-3
8.400000E-9	-5.404345E-3
8.450000E-9	-5.387215E-3
8.500000E-9	-5.370086E-3
8.550000E-9	-5.318697E-3
8.600000E-9	-5.293003E-3
8.650000E-9	-5.335827E-3
8.700000E-9	-5.361521E-3
8.750000E-9	-5.344391E-3
8.800000E-9	-5.335827E-3
8.850000E-9	-5.370086E-3
8.900000E-9	-5.404345E-3
8.950000E-9	-5.395780E-3
9.000000E-9	-5.318697E-3
9.050000E-9	-5.224485E-3
9.100000E-9	-5.164532E-3
9.150000E-9	-5.061755E-3
9.200000E-9	-4.933284E-3
9.250000E-9	-4.856202E-3
9.300000E-9	-4.813378E-3
9.350000E-9	-4.727731E-3
9.400000E-9	-4.676342E-3
9.450000E-9	-4.736296E-3
9.500000E-9	-4.821943E-3
9.550000E-9	-4.873331E-3
9.600000E-9	-4.950414E-3
9.650000E-9	-5.087449E-3
9.700000E-9	-5.207356E-3
9.750000E-9	-5.258744E-3
9.800000E-9	-5.310132E-3
9.850000E-9	-5.387215E-3
9.900000E-9	-5.472862E-3
9.950000E-9	-5.472862E-3
1.000000E-8	-5.404345E-3
1.005000E-8	-5.378650E-3
1.010000E-8	-5.412909E-3
1.015000E-8	-5.378650E-3
1.020000E-8	-5.293003E-3
1.025000E-8	-5.267309E-3
1.030000E-8	-5.275874E-3
1.035000E-8	-5.224485E-3
1.040000E-8	-5.181662E-3
1.045000E-8	-5.233050E-3
1.050000E-8	-5.310132E-3
1.055000E-8	-5.344391E-3
1.060000E-8	-5.378650E-3
1.065000E-8	-5.455733E-3
1.070000E-8	-5.541380E-3
1.075000E-8	-5.558510E-3
1.080000E-8	-5.498557E-3
1.085000E-8	-5.447168E-3
1.090000E-8	-5.412909E-3
1.095000E-8	-5.327262E-3
1.100000E-8	-5.164532E-3
1.105000E-8	-5.053191E-3
1.110000E-8	-5.010367E-3
1.115000E-8	-4.907590E-3
1.120000E-8	-4.813378E-3
1.125000E-8	-4.847637E-3
1.130000E-8	-4.933284E-3
1.135000E-8	-4.933284E-3
1.140000E-8	-4.924720E-3
1.145000E-8	-5.010367E-3
1.150000E-8	-5.113144E-3
1.155000E-8	-5.173097E-3
1.160000E-8	-5.224485E-3
1.165000E-8	-5.258744E-3
1.170000E-8	-5.258744E-3
1.175000E-8	-5.233050E-3
1.180000E-8	-5.224485E-3
1.185000E-8	-5.275874E-3
1.190000E-8	-5.387215E-3
1.195000E-8	-5.489992E-3
1.200000E-8	-5.575639E-3
1.205000E-8	-5.755498E-3
1.210000E-8	-6.063829E-3
1.215000E-8	-6.474936E-3
1.220000E-8	-7.108726E-3
1.225000E-8	-8.136493E-3
1.230000E-8	-9.712404E-3
1.235000E-8	-1.198206E-2
1.240000E-8	-1.521096E-2
1.245000E-8	-1.957897E-2
1.250000E-8	-2.520600E-2
1.255000E-8	-3.217769E-2
1.260000E-8	-4.048548E-2
1.265000E-8	-5.005228E-2
1.270000E-8	-6.070680E-2
1.275000E-8	-7.208077E-2
1.280000E-8	-8.365172E-2
1.285000E-8	-9.498285E-2
1.290000E-8	-1.057915E-1
1.295000E-8	-1.157780E-1
1.300000E-8	-1.247367E-1
1.305000E-8	-1.326762E-1
1.310000E-8	-1.397421E-1
1.315000E-8	-1.460286E-1
1.320000E-8	-1.516300E-1
1.325000E-8	-1.566917E-1
1.330000E-8	-1.614280E-1
1.335000E-8	-1.660016E-1
1.340000E-8	-1.703525E-1
1.345000E-8	-1.743436E-1
1.350000E-8	-1.778894E-1
1.355000E-8	-1.808271E-1
1.360000E-8	-1.828227E-1
1.365000E-8	-1.835850E-1
1.370000E-8	-1.830197E-1
1.375000E-8	-1.810670E-1
1.380000E-8	-1.776753E-1
1.385000E-8	-1.729476E-1
1.390000E-8	-1.671921E-1
1.395000E-8	-1.607600E-1
1.400000E-8	-1.539853E-1
1.405000E-8	-1.472191E-1
1.410000E-8	-1.408812E-1
1.415000E-8	-1.352970E-1
1.420000E-8	-1.305607E-1
1.425000E-8	-1.267494E-1
1.430000E-8	-1.239145E-1
1.435000E-8	-1.220046E-1
1.440000E-8	-1.208398E-1
1.445000E-8	-1.202317E-1
1.450000E-8	-1.200261E-1
1.455000E-8	-1.201203E-1
1.460000E-8	-1.203516E-1
1.465000E-8	-1.206599E-1
1.470000E-8	-1.210796E-1
1.475000E-8	-1.217219E-1
1.480000E-8	-1.226555E-1
1.485000E-8	-1.239402E-1
1.490000E-8	-1.257045E-1
1.495000E-8	-1.279999E-1
1.500000E-8	-1.308348E-1
1.505000E-8	-1.341494E-1
1.510000E-8	-1.378836E-1
1.515000E-8	-1.419261E-1
1.520000E-8	-1.460543E-1
1.525000E-8	-1.500541E-1
1.530000E-8	-1.537540E-1
1.535000E-8	-1.570343E-1
1.540000E-8	-1.596723E-1
1.545000E-8	-1.615479E-1
1.550000E-8	-1.626870E-1
1.555000E-8	-1.630810E-1
1.560000E-8	-1.626785E-1
1.565000E-8	-1.615137E-1
1.570000E-8	-1.597579E-1
1.575000E-8	-1.574711E-1
1.580000E-8	-1.546533E-1
1.585000E-8	-1.514073E-1
1.590000E-8	-1.478187E-1
1.595000E-8	-1.439046E-1
1.600000E-8	-1.397164E-1
1.605000E-8	-1.353827E-1
1.610000E-8	-1.309376E-1
1.615000E-8	-1.265011E-1
1.620000E-8	-1.222273E-1
1.625000E-8	-1.181676E-1
1.630000E-8	-1.143905E-1
1.635000E-8	-1.111445E-1
1.640000E-8	-1.086008E-1
1.645000E-8	-1.067508E-1
1.650000E-8	-1.056545E-1
1.655000E-8	-1.054318E-1
1.660000E-8	-1.060656E-1
1.665000E-8	-1.075131E-1
1.670000E-8	-1.097570E-1
1.675000E-8	-1.126433E-1
1.680000E-8	-1.160350E-1
1.685000E-8	-1.199062E-1
1.690000E-8	-1.241715E-1
1.695000E-8	-1.286165E-1
1.700000E-8	-1.331045E-1
1.705000E-8	-1.375667E-1
1.710000E-8	-1.418662E-1
1.715000E-8	-1.458145E-1
1.720000E-8	-1.493175E-1
1.725000E-8	-1.522638E-1
1.730000E-8	-1.545077E-1
1.735000E-8	-1.560322E-1
1.740000E-8	-1.567945E-1
1.745000E-8	-1.566403E-1
1.750000E-8	-1.555698E-1
1.755000E-8	-1.537540E-1
1.760000E-8	-1.512189E-1
1.765000E-8	-1.479214E-1
1.770000E-8	-1.440673E-1
1.775000E-8	-1.399648E-1
1.780000E-8	-1.356568E-1
1.785000E-8	-1.312288E-1
1.790000E-8	-1.269207E-1
1.795000E-8	-1.228696E-1
1.800000E-8	-1.190669E-1
1.805000E-8	-1.156324E-1
1.810000E-8	-1.126776E-1
1.815000E-8	-1.101852E-1
1.820000E-8	-1.081640E-1
1.825000E-8	-1.065709E-1
1.830000E-8	-1.053376E-1
1.835000E-8	-1.045411E-1
1.840000E-8	-1.042499E-1
1.845000E-8	-1.043784E-1
1.850000E-8	-1.048922E-1
1.855000E-8	-1.059371E-1
1.860000E-8	-1.075387E-1
1.865000E-8	-1.095943E-1
1.870000E-8	-1.121637E-1
1.875000E-8	-1.152641E-1
1.880000E-8	-1.187328E-1
1.885000E-8	-1.224671E-1
1.890000E-8	-1.263897E-1
1.895000E-8	-1.302867E-1
1.900000E-8	-1.339267E-1
1.905000E-8	-1.371898E-1
1.910000E-8	-1.399734E-1
1.915000E-8	-1.421231E-1
1.920000E-8	-1.435192E-1
1.925000E-8	-1.441530E-1
1.930000E-8	-1.440502E-1
1.935000E-8	-1.432794E-1
1.940000E-8	-1.419261E-1
1.945000E-8	-1.401190E-1
1.950000E-8	-1.380549E-1
1.955000E-8	-1.358794E-1
1.960000E-8	-1.336526E-1
1.965000E-8	-1.314772E-1
1.970000E-8	-1.294473E-1
1.975000E-8	-1.275460E-1
1.980000E-8	-1.256703E-1
1.985000E-8	-1.237261E-1
1.990000E-8	-1.216877E-1
1.995000E-8	-1.194523E-1
2.000000E-8	-1.169600E-1
2.005000E-8	-1.141250E-1
2.010000E-8	-1.109389E-1
2.015000E-8	-1.074874E-1
2.020000E-8	-1.039416E-1
2.025000E-8	-1.004300E-1
2.030000E-8	-9.714117E-2
2.035000E-8	-9.436619E-2
2.040000E-8	-9.236205E-2
2.045000E-8	-9.127433E-2
2.050000E-8	-9.124863E-2
2.055000E-8	-9.244769E-2
2.060000E-8	-9.485438E-2
2.065000E-8	-9.832310E-2
2.070000E-8	-1.027339E-1
2.075000E-8	-1.078813E-1
2.080000E-8	-1.134227E-1
2.085000E-8	-1.190840E-1
2.090000E-8	-1.246425E-1
2.095000E-8	-1.297471E-1
2.100000E-8	-1.341579E-1
2.105000E-8	-1.377380E-1
2.110000E-8	-1.404359E-1
2.115000E-8	-1.422088E-1
2.120000E-8	-1.430738E-1
2.125000E-8	-1.430567E-1
2.130000E-8	-1.422602E-1
2.135000E-8	-1.408812E-1
2.140000E-8	-1.390398E-1
2.145000E-8	-1.368044E-1
2.150000E-8	-1.342607E-1
2.155000E-8	-1.314686E-1
2.160000E-8	-1.283853E-1
2.165000E-8	-1.249937E-1
2.170000E-8	-1.213194E-1
2.175000E-8	-1.173711E-1
2.180000E-8	-1.131230E-1
2.185000E-8	-1.086350E-1
2.190000E-8	-1.040872E-1
2.195000E-8	-9.961637E-2
2.200000E-8	-9.530831E-2
2.205000E-8	-9.141136E-2
2.210000E-8	-8.820815E-2
2.215000E-8	-8.587855E-2
2.220000E-8	-8.451675E-2
2.225000E-8	-8.420842E-2
2.230000E-8	-8.501351E-2
2.235000E-8	-8.688062E-2
2.240000E-8	-8.968129E-2
2.245000E-8	-9.320995E-2
2.250000E-8	-9.725251E-2
2.255000E-8	-1.016205E-1
2.260000E-8	-1.060827E-1
2.265000E-8	-1.104508E-1
2.270000E-8	-1.145961E-1
2.275000E-8	-1.184074E-1
2.280000E-8	-1.218162E-1
2.285000E-8	-1.248138E-1
2.290000E-8	-1.274260E-1
2.295000E-8	-1.296529E-1
2.300000E-8	-1.315371E-1
2.305000E-8	-1.330616E-1
2.310000E-8	-1.342179E-1
2.315000E-8	-1.350230E-1
2.320000E-8	-1.353998E-1
2.325000E-8	-1.351771E-1
2.330000E-8	-1.343464E-1
2.335000E-8	-1.329160E-1
2.340000E-8	-1.307663E-1
2.345000E-8	-1.278200E-1
2.350000E-8	-1.242228E-1
2.355000E-8	-1.200861E-1
2.360000E-8	-1.154868E-1
2.365000E-8	-1.106306E-1
2.370000E-8	-1.057487E-1
2.375000E-8	-1.009867E-1
2.380000E-8	-9.657589E-2
2.385000E-8	-9.272176E-2
2.390000E-8	-8.952712E-2
2.395000E-8	-8.705191E-2
2.400000E-8	-8.536466E-2
2.405000E-8	-8.446537E-2
2.410000E-8	-8.425981E-2
2.415000E-8	-8.465379E-2
2.420000E-8	-8.556165E-2
2.425000E-8	-8.688062E-2
2.430000E-8	-8.852505E-2
2.435000E-8	-9.043498E-2
2.440000E-8	-9.253334E-2
2.445000E-8	-9.484582E-2
2.450000E-8	-9.742380E-2
2.455000E-8	-1.002844E-1
2.460000E-8	-1.033763E-1
2.465000E-8	-1.067165E-1
2.470000E-8	-1.104079E-1
2.475000E-8	-1.143563E-1
2.480000E-8	-1.184074E-1
2.485000E-8	-1.224499E-1
2.490000E-8	-1.263726E-1
2.495000E-8	-1.299612E-1
2.500000E-8	-1.330017E-1
2.505000E-8	-1.352970E-1
2.510000E-8	-1.366674E-1
2.515000E-8	-1.370014E-1
2.520000E-8	-1.361535E-1
2.525000E-8	-1.340808E-1
2.530000E-8	-1.309376E-1
2.535000E-8	-1.268436E-1
2.540000E-8	-1.218247E-1
2.545000E-8	-1.161206E-1
2.550000E-8	-1.100739E-1
2.555000E-8	-1.038559E-1
2.560000E-8	-9.762935E-2
2.565000E-8	-9.172826E-2
2.570000E-8	-8.641812E-2
2.575000E-8	-8.178460E-2
2.580000E-8	-7.799043E-2
2.585000E-8	-7.516407E-2
2.590000E-8	-7.329696E-2
2.595000E-8	-7.236340E-2
2.600000E-8	-7.244048E-2
2.605000E-8	-7.352821E-2
2.610000E-8	-7.548096E-2
2.615000E-8	-7.818742E-2
2.620000E-8	-8.159618E-2
2.625000E-8	-8.557022E-2
2.630000E-8	-8.996392E-2
2.635000E-8	-9.462313E-2
2.640000E-8	-9.943651E-2
2.645000E-8	-1.042242E-1
2.650000E-8	-1.088320E-1
2.655000E-8	-1.131315E-1
2.660000E-8	-1.170199E-1
2.665000E-8	-1.203601E-1
2.670000E-8	-1.231094E-1
2.675000E-8	-1.252934E-1
2.680000E-8	-1.268351E-1
2.685000E-8	-1.276487E-1
2.690000E-8	-1.277772E-1
2.695000E-8	-1.273061E-1
2.700000E-8	-1.262270E-1
2.705000E-8	-1.245312E-1
