Study Name	Beam_042_10_RT_lecroy
Sample Name	2025-09-10
Run Name	spot00
Operator	Elena
Date	9/10/2025
Time	15:49
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	2000
Files in Batch	6
Batch Number	527
dt	50.000001E-12
time stamp (ms)	5:33:16 PM
	
Time	Amplitude
0.000000E+0	-5.824677E-4
5.000000E-11	-7.195168E-4
1.000000E-10	-9.336561E-4
1.500000E-10	-1.147795E-3
2.000000E-10	-1.147795E-3
2.500000E-10	-9.850495E-4
3.000000E-10	-8.394348E-4
3.500000E-10	-6.681234E-4
4.000000E-10	-2.998039E-4
4.500000E-10	1.199090E-4
5.000000E-10	3.683106E-4
5.500000E-10	4.882286E-4
6.000000E-10	7.708924E-4
6.500000E-10	1.250564E-3
7.000000E-10	1.618884E-3
7.500000E-10	1.704540E-3
8.000000E-10	1.661712E-3
8.500000E-10	1.678843E-3
9.000000E-10	1.738802E-3
9.500000E-10	1.755933E-3
1.000000E-9	1.644581E-3
1.050000E-9	1.473269E-3
1.100000E-9	1.250564E-3
1.150000E-9	1.002163E-3
1.200000E-9	8.222858E-4
1.250000E-9	8.051547E-4
1.300000E-9	8.479825E-4
1.350000E-9	8.394169E-4
1.400000E-9	9.250726E-4
1.450000E-9	1.130646E-3
1.500000E-9	1.284827E-3
1.550000E-9	1.379048E-3
1.600000E-9	1.516097E-3
1.650000E-9	1.601753E-3
1.700000E-9	1.439007E-3
1.750000E-9	1.139212E-3
1.800000E-9	8.051547E-4
1.850000E-9	4.025729E-4
1.900000E-9	-5.140236E-5
1.950000E-9	-4.796809E-4
2.000000E-9	-7.794758E-4
2.050000E-9	-8.480004E-4
2.100000E-9	-7.794758E-4
2.150000E-9	-7.623447E-4
2.200000E-9	-6.338611E-4
2.250000E-9	-2.141482E-4
2.300000E-9	2.055647E-4
2.350000E-9	3.426139E-4
2.400000E-9	4.025729E-4
2.450000E-9	6.167121E-4
2.500000E-9	6.595400E-4
2.550000E-9	3.169172E-4
2.600000E-9	-7.709907E-5
2.650000E-9	-2.569760E-4
2.700000E-9	-4.625497E-4
2.750000E-9	-7.366480E-4
2.800000E-9	-7.537791E-4
2.850000E-9	-4.711153E-4
2.900000E-9	-2.141482E-4
2.950000E-9	-1.714008E-5
3.000000E-9	2.997860E-4
3.050000E-9	7.537612E-4
3.100000E-9	1.173474E-3
3.150000E-9	1.456138E-3
3.200000E-9	1.601753E-3
3.250000E-9	1.687408E-3
3.300000E-9	1.636015E-3
3.350000E-9	1.353351E-3
3.400000E-9	9.850316E-4
3.450000E-9	7.023678E-4
3.500000E-9	4.282696E-4
3.550000E-9	1.113435E-4
3.600000E-9	-1.714008E-5
3.650000E-9	5.138449E-5
3.700000E-9	1.456058E-4
3.750000E-9	2.141303E-4
3.800000E-9	3.940073E-4
3.850000E-9	6.424088E-4
3.900000E-9	8.051547E-4
3.950000E-9	8.137202E-4
4.000000E-9	7.366301E-4
4.050000E-9	6.938022E-4
4.100000E-9	6.167121E-4
4.150000E-9	4.111384E-4
4.200000E-9	1.884336E-4
4.250000E-9	1.113435E-4
4.300000E-9	2.568778E-5
4.350000E-9	-9.423021E-5
4.400000E-9	-1.284925E-4
4.450000E-9	-4.283679E-5
4.500000E-9	1.712221E-5
4.550000E-9	-4.283679E-5
