Study Name	Beam_cont_045-04_RT_lecroy
Sample Name	2025-03-19
Run Name	spot00
Operator	Elena
Date	3/19/2025
Time	13:51
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	2000
Files in Batch	6
Batch Number	69
dt	100.000001E-12
time stamp (ms)	2:04:19 PM
	
Time	Amplitude
0.000000E+0	-1.336177E-4
1.000000E-10	1.678905E-4
2.000000E-10	4.865299E-4
3.000000E-10	7.811857E-4
4.000000E-10	8.120217E-4
5.000000E-10	6.235791E-4
6.000000E-10	3.666118E-4
7.000000E-10	1.850217E-4
8.000000E-10	2.021528E-4
9.000000E-10	3.905955E-4
1.000000E-9	7.948906E-4
1.100000E-9	1.086120E-3
1.200000E-9	1.144366E-3
1.300000E-9	1.014169E-3
1.400000E-9	7.229398E-4
1.500000E-9	2.295626E-4
1.600000E-9	-1.370440E-4
1.700000E-9	-3.152079E-4
1.800000E-9	-3.049292E-4
1.900000E-9	-6.509314E-5
2.000000E-9	2.021528E-4
2.100000E-9	4.659725E-4
2.200000E-9	7.332185E-4
2.300000E-9	6.338578E-4
2.400000E-9	4.865299E-4
2.500000E-9	2.741036E-4
2.600000E-9	4.454622E-5
2.700000E-9	-5.481445E-5
2.800000E-9	-1.370440E-4
2.900000E-9	-2.603882E-4
3.000000E-9	-4.042899E-4
3.100000E-9	-5.379129E-4
3.200000E-9	-4.625358E-4
3.300000E-9	-2.055686E-4
3.400000E-9	9.251344E-5
3.500000E-9	3.940217E-4
3.600000E-9	6.475627E-4
3.700000E-9	7.469234E-4
3.800000E-9	7.811857E-4
3.900000E-9	9.079562E-4
4.000000E-9	1.089546E-3
4.100000E-9	1.267710E-3
4.200000E-9	1.312251E-3
4.300000E-9	1.223169E-3
4.400000E-9	9.662021E-4
4.500000E-9	8.805463E-4
4.600000E-9	1.007317E-3
4.700000E-9	1.267710E-3
4.800000E-9	1.531530E-3
4.900000E-9	1.695989E-3
5.000000E-9	1.504120E-3
5.100000E-9	1.226596E-3
5.200000E-9	7.846119E-4
5.300000E-9	2.603987E-4
5.400000E-9	-2.261259E-4
5.500000E-9	-7.503391E-4
5.600000E-9	-1.024438E-3
5.700000E-9	-1.096388E-3
5.800000E-9	-7.400605E-4
5.900000E-9	-1.815850E-4
6.000000E-9	4.659725E-4
6.100000E-9	8.360054E-4
6.200000E-9	7.948906E-4
6.300000E-9	1.987266E-4
6.400000E-9	-2.740932E-4
6.500000E-9	-7.777490E-4
6.600000E-9	-7.880277E-4
6.700000E-9	-4.762407E-4
6.800000E-9	5.825114E-5
6.900000E-9	5.036610E-4
7.000000E-9	6.749725E-4
7.100000E-9	3.220709E-4
7.200000E-9	-3.289128E-4
7.300000E-9	-7.880277E-4
7.400000E-9	-8.668310E-4
7.500000E-9	-4.179948E-4
7.600000E-9	2.946610E-4
7.700000E-9	9.901857E-4
7.800000E-9	1.288268E-3
7.900000E-9	9.867595E-4
8.000000E-9	2.843823E-4
8.100000E-9	-4.351260E-4
8.200000E-9	-8.222900E-4
8.300000E-9	-8.839621E-4
8.400000E-9	-4.522571E-4
8.500000E-9	1.541856E-4
8.600000E-9	5.756119E-4
8.700000E-9	6.989562E-4
8.800000E-9	6.886775E-4
8.900000E-9	3.289233E-4
9.000000E-9	5.233460E-9
9.100000E-9	-3.940112E-4
9.200000E-9	-8.428474E-4
9.300000E-9	-1.230011E-3
9.400000E-9	-1.545225E-3
9.500000E-9	-1.658290E-3
9.600000E-9	-1.469847E-3
9.700000E-9	-1.123798E-3
9.800000E-9	-6.852408E-4
9.900000E-9	-3.460440E-4
1.000000E-8	-2.055686E-4
1.010000E-8	-4.830932E-4
1.020000E-8	-7.195031E-4
1.030000E-8	-9.113720E-4
1.040000E-8	-8.702572E-4
1.050000E-8	-7.571916E-4
1.060000E-8	-3.357653E-4
1.070000E-8	5.139868E-5
1.080000E-8	2.192840E-4
1.090000E-8	1.027921E-4
1.100000E-8	-1.952899E-4
1.110000E-8	-5.310604E-4
1.120000E-8	-7.229293E-4
1.130000E-8	-8.462736E-4
1.140000E-8	-5.790276E-4
1.150000E-8	-5.481445E-5
1.160000E-8	4.968086E-4
1.170000E-8	8.154480E-4
1.180000E-8	8.668414E-4
1.190000E-8	6.304316E-4
1.200000E-8	4.008741E-4
1.210000E-8	2.912348E-4
1.220000E-8	2.878086E-4
1.230000E-8	3.803168E-4
1.240000E-8	6.235791E-4
1.250000E-8	6.955299E-4
1.260000E-8	6.167266E-4
1.270000E-8	5.002348E-4
1.280000E-8	3.289233E-4
1.290000E-8	1.302020E-4
1.300000E-8	5.482491E-5
1.310000E-8	-8.222429E-5
1.320000E-8	-2.740932E-4
1.330000E-8	-2.877981E-4
1.340000E-8	-2.740932E-4
1.350000E-8	-2.158473E-4
1.360000E-8	-1.473227E-4
1.370000E-8	-9.935544E-5
1.380000E-8	-6.847227E-6
1.390000E-8	6.852983E-5
1.400000E-8	1.918741E-4
1.410000E-8	3.597594E-4
1.420000E-8	3.631856E-4
1.430000E-8	2.706774E-4
1.440000E-8	-2.397838E-5
1.450000E-8	-3.186342E-4
1.460000E-8	-5.036506E-4
1.470000E-8	-4.625358E-4
1.480000E-8	-1.267653E-4
1.490000E-8	2.638249E-4
1.500000E-8	7.537758E-4
1.510000E-8	9.490709E-4
1.520000E-8	8.360054E-4
1.530000E-8	5.447758E-4
1.540000E-8	2.569725E-4
1.550000E-8	3.769376E-5
1.560000E-8	8.566098E-5
1.570000E-8	2.364151E-4
1.580000E-8	4.385627E-4
1.590000E-8	4.625463E-4
1.600000E-8	3.803168E-4
1.610000E-8	1.918741E-4
1.620000E-8	-1.027346E-5
1.630000E-8	-6.509314E-5
1.640000E-8	-5.138822E-5
1.650000E-8	1.576118E-4
1.660000E-8	2.946610E-4
1.670000E-8	1.953003E-4
1.680000E-8	-1.027346E-5
1.690000E-8	-3.734538E-4
1.700000E-8	-7.469129E-4
1.710000E-8	-9.593392E-4
1.720000E-8	-9.798966E-4
1.730000E-8	-7.606178E-4
1.740000E-8	-4.316997E-4
1.750000E-8	-1.884374E-4
1.760000E-8	-3.768330E-5
1.770000E-8	1.027921E-4
1.780000E-8	1.541856E-4
1.790000E-8	2.946610E-4
1.800000E-8	4.282840E-4
1.810000E-8	4.899561E-4
1.820000E-8	4.111528E-4
1.830000E-8	2.501200E-4
1.840000E-8	2.741507E-5
1.850000E-8	-2.261259E-4
1.860000E-8	-4.042899E-4
1.870000E-8	-5.105030E-4
1.880000E-8	-6.406998E-4
1.890000E-8	-6.406998E-4
1.900000E-8	-6.920932E-4
1.910000E-8	-8.120113E-4
1.920000E-8	-8.496998E-4
1.930000E-8	-8.394211E-4
1.940000E-8	-7.469129E-4
1.950000E-8	-6.544047E-4
1.960000E-8	-3.460440E-4
1.970000E-8	-4.796199E-5
1.980000E-8	2.569725E-4
1.990000E-8	3.254971E-4
2.000000E-8	2.192840E-4
2.010000E-8	5.482491E-5
2.020000E-8	-6.509314E-5
2.030000E-8	-6.847227E-6
2.040000E-8	2.946610E-4
2.050000E-8	6.681201E-4
2.060000E-8	1.079268E-3
2.070000E-8	1.281415E-3
2.080000E-8	1.158071E-3
2.090000E-8	6.612676E-4
2.100000E-8	6.167737E-5
2.110000E-8	-3.768801E-4
2.120000E-8	-7.057982E-4
2.130000E-8	-1.075831E-3
2.140000E-8	-1.199175E-3
2.150000E-8	-1.226585E-3
2.160000E-8	-1.103241E-3
2.170000E-8	-9.730441E-4
2.180000E-8	-6.132899E-4
2.190000E-8	-2.021423E-4
2.200000E-8	3.323495E-4
2.210000E-8	1.031300E-3
2.220000E-8	2.381235E-3
2.230000E-8	4.577449E-3
2.240000E-8	7.959138E-3
2.250000E-8	1.265993E-2
2.260000E-8	1.830293E-2
2.270000E-8	2.442560E-2
2.280000E-8	3.040437E-2
2.290000E-8	3.601996E-2
2.300000E-8	4.105652E-2
2.310000E-8	4.527078E-2
2.320000E-8	4.867988E-2
2.330000E-8	5.119131E-2
2.340000E-8	5.279821E-2
2.350000E-8	5.353485E-2
2.360000E-8	5.332585E-2
2.370000E-8	5.252754E-2
2.380000E-8	5.112621E-2
2.390000E-8	4.913214E-2
2.400000E-8	4.658645E-2
2.410000E-8	4.362277E-2
2.420000E-8	4.080640E-2
2.430000E-8	3.834980E-2
2.440000E-8	3.679429E-2
2.450000E-8	3.598913E-2
2.460000E-8	3.614673E-2
2.470000E-8	3.685254E-2
2.480000E-8	3.791809E-2
2.490000E-8	3.907958E-2
2.500000E-8	4.024450E-2
2.510000E-8	4.127580E-2
2.520000E-8	4.210495E-2
2.530000E-8	4.261545E-2
2.540000E-8	4.264629E-2
2.550000E-8	4.199873E-2
2.560000E-8	4.067621E-2
2.570000E-8	3.874724E-2
2.580000E-8	3.648935E-2
2.590000E-8	3.415952E-2
2.600000E-8	3.223055E-2
2.610000E-8	3.085321E-2
2.620000E-8	3.025704E-2
2.630000E-8	3.024676E-2
2.640000E-8	3.063735E-2
2.650000E-8	3.141168E-2
2.660000E-8	3.241899E-2
2.670000E-8	3.354965E-2
2.680000E-8	3.478652E-2
2.690000E-8	3.591032E-2
2.700000E-8	3.686624E-2
2.710000E-8	3.734934E-2
2.720000E-8	3.706839E-2
2.730000E-8	3.600283E-2
2.740000E-8	3.440963E-2
2.750000E-8	3.250808E-2
2.760000E-8	3.044549E-2
2.770000E-8	2.852337E-2
2.780000E-8	2.692675E-2
2.790000E-8	2.591601E-2
2.800000E-8	2.562478E-2
2.810000E-8	2.614214E-2
2.820000E-8	2.743726E-2
2.830000E-8	2.942447E-2
2.840000E-8	3.179885E-2
2.850000E-8	3.395394E-2
2.860000E-8	3.566363E-2
2.870000E-8	3.657844E-2
2.880000E-8	3.653390E-2
2.890000E-8	3.560881E-2
2.900000E-8	3.391968E-2
2.910000E-8	3.173032E-2
2.920000E-8	2.921547E-2
2.930000E-8	2.681711E-2
2.940000E-8	2.470998E-2
