Study Name	Beam_cont_045-04_RT_lecroy
Sample Name	2025-03-19
Run Name	spot00
Operator	Elena
Date	3/19/2025
Time	13:51
Sign	NEG
Grating Spacing	03.40um
Channel	3
Number Traces	2000
Files in Batch	6
Batch Number	66
dt	100.000001E-12
time stamp (ms)	2:03:45 PM
	
Time	Amplitude
0.000000E+0	-4.454115E-4
1.000000E-10	-3.460509E-4
2.000000E-10	-3.083623E-4
3.000000E-10	-4.317066E-4
4.000000E-10	-5.927394E-4
5.000000E-10	-7.880345E-4
6.000000E-10	-8.497067E-4
7.000000E-10	-7.366411E-4
8.000000E-10	-5.584771E-4
9.000000E-10	-2.638213E-4
1.000000E-9	3.424610E-6
1.100000E-9	2.398345E-4
1.200000E-9	4.248509E-4
1.300000E-9	6.201460E-4
1.400000E-9	5.961624E-4
1.500000E-9	5.413427E-4
1.600000E-9	3.391952E-4
1.700000E-9	1.027853E-4
1.800000E-9	-7.880491E-5
1.900000E-9	-5.139507E-5
2.000000E-9	1.233427E-4
2.100000E-9	3.803099E-4
2.200000E-9	6.372772E-4
2.300000E-9	6.509821E-4
2.400000E-9	4.865230E-4
2.500000E-9	7.880167E-5
2.600000E-9	-3.083623E-4
2.700000E-9	-5.173624E-4
2.800000E-9	-3.837394E-4
2.900000E-9	-6.509999E-5
3.000000E-9	4.454083E-4
3.100000E-9	9.799002E-4
3.200000E-9	1.291687E-3
3.300000E-9	1.206031E-3
3.400000E-9	8.085887E-4
3.500000E-9	2.740968E-4
3.600000E-9	-2.432640E-4
3.700000E-9	-6.030181E-4
3.800000E-9	-6.544116E-4
3.900000E-9	-4.145755E-4
4.000000E-9	2.398199E-5
4.100000E-9	4.830968E-4
4.200000E-9	8.497034E-4
4.300000E-9	9.422116E-4
4.400000E-9	6.715395E-4
4.500000E-9	2.912279E-4
4.600000E-9	-2.055900E-5
4.700000E-9	-2.535426E-4
4.800000E-9	-2.741000E-4
4.900000E-9	-1.713131E-4
5.000000E-9	-2.055900E-5
5.100000E-9	1.027853E-4
5.200000E-9	1.199164E-4
5.300000E-9	1.815886E-4
5.400000E-9	1.952935E-4
5.500000E-9	2.980804E-4
5.600000E-9	3.391952E-4
5.700000E-9	3.289165E-4
5.800000E-9	2.021460E-4
5.900000E-9	-4.454261E-5
6.000000E-9	-3.529033E-4
6.100000E-9	-6.783952E-4
6.200000E-9	-8.394280E-4
6.300000E-9	-9.148050E-4
6.400000E-9	-7.332148E-4
6.500000E-9	-4.591164E-4
6.600000E-9	-2.227066E-4
6.700000E-9	-1.541820E-4
6.800000E-9	-2.295590E-4
6.900000E-9	-3.289197E-4
7.000000E-9	-4.042968E-4
7.100000E-9	-4.625427E-4
7.200000E-9	-2.980836E-4
7.300000E-9	-1.747394E-4
7.400000E-9	-2.055900E-5
7.500000E-9	-4.796884E-5
7.600000E-9	-2.021492E-4
7.700000E-9	-4.077230E-4
7.800000E-9	-5.310673E-4
7.900000E-9	-5.858870E-4
8.000000E-9	-6.132968E-4
8.100000E-9	-6.509853E-4
8.200000E-9	-7.229362E-4
8.300000E-9	-8.702640E-4
8.400000E-9	-9.970346E-4
8.500000E-9	-1.089543E-3
8.600000E-9	-9.799034E-4
8.700000E-9	-7.366411E-4
8.800000E-9	-3.974443E-4
8.900000E-9	-1.987230E-4
9.000000E-9	-1.644607E-4
9.100000E-9	-1.952967E-4
9.200000E-9	-4.077230E-4
9.300000E-9	-5.584771E-4
9.400000E-9	-6.167230E-4
9.500000E-9	-5.516247E-4
9.600000E-9	-3.563295E-4
9.700000E-9	-1.713131E-4
9.800000E-9	-1.713277E-5
9.900000E-9	1.096377E-4
1.000000E-8	2.329820E-4
1.010000E-8	2.603919E-4
1.020000E-8	1.576050E-4
1.030000E-8	-3.769015E-5
1.040000E-8	-2.809525E-4
1.050000E-8	-4.454115E-4
1.060000E-8	-6.509853E-4
1.070000E-8	-6.955263E-4
1.080000E-8	-6.030181E-4
1.090000E-8	-4.968050E-4
1.100000E-8	-4.351328E-4
1.110000E-8	-4.556902E-4
1.120000E-8	-4.488378E-4
1.130000E-8	-3.871656E-4
1.140000E-8	-3.426246E-4
1.150000E-8	-3.871656E-4
1.160000E-8	-2.878049E-4
1.170000E-8	-2.535426E-4
1.180000E-8	-1.678869E-4
1.190000E-8	-9.250983E-5
1.200000E-8	-4.454261E-5
1.210000E-8	8.222790E-5
1.220000E-8	2.398345E-4
1.230000E-8	4.830968E-4
1.240000E-8	6.681132E-4
1.250000E-8	7.297854E-4
1.260000E-8	6.509821E-4
1.270000E-8	3.974411E-4
1.280000E-8	2.295558E-4
1.290000E-8	1.712953E-5
1.300000E-8	-6.509999E-5
1.310000E-8	-1.620492E-9
1.320000E-8	8.908036E-5
1.330000E-8	-1.620492E-9
1.340000E-8	-2.569689E-4
1.350000E-8	-5.516247E-4
1.360000E-8	-8.462804E-4
1.370000E-8	-9.285100E-4
1.380000E-8	-9.113788E-4
1.390000E-8	-6.132968E-4
1.400000E-8	-3.734607E-4
1.410000E-8	-2.672476E-4
1.420000E-8	-2.398377E-4
1.430000E-8	-2.912312E-4
1.440000E-8	-3.940181E-4
1.450000E-8	-3.905918E-4
1.460000E-8	-3.254935E-4
1.470000E-8	-3.666082E-4
1.480000E-8	-3.837394E-4
1.490000E-8	-6.578378E-4
1.500000E-8	-8.634116E-4
1.510000E-8	-1.014166E-3
1.520000E-8	-9.559198E-4
1.530000E-8	-5.893132E-4
1.540000E-8	-1.096410E-4
1.550000E-8	3.117853E-4
1.560000E-8	4.179984E-4
1.570000E-8	2.398345E-4
1.580000E-8	-2.603951E-4
1.590000E-8	-8.188706E-4
1.600000E-8	-1.106674E-3
1.610000E-8	-1.089543E-3
1.620000E-8	-7.126575E-4
1.630000E-8	-2.021492E-4
1.640000E-8	2.912279E-4
1.650000E-8	5.276378E-4
1.660000E-8	4.317034E-4
1.670000E-8	5.481806E-5
1.680000E-8	-2.569689E-4
1.690000E-8	-4.180017E-4
1.700000E-8	-4.796738E-4
1.710000E-8	-3.323459E-4
1.720000E-8	-1.062148E-4
1.730000E-8	6.850840E-6
1.740000E-8	3.424610E-6
1.750000E-8	-7.537868E-5
1.760000E-8	-1.815918E-4
1.770000E-8	-3.015099E-4
1.780000E-8	-3.391984E-4
1.790000E-8	-2.809525E-4
1.800000E-8	-7.880491E-5
1.810000E-8	4.796560E-5
1.820000E-8	-3.427851E-6
1.830000E-8	-1.952967E-4
1.840000E-8	-4.419853E-4
1.850000E-8	-7.195099E-4
1.860000E-8	-7.571985E-4
1.870000E-8	-6.475591E-4
1.880000E-8	-3.974443E-4
1.890000E-8	-2.295590E-4
1.900000E-8	-4.454261E-5
1.910000E-8	-5.139507E-5
1.920000E-8	-2.055754E-4
1.930000E-8	-4.145755E-4
1.940000E-8	-5.550509E-4
1.950000E-8	-6.544116E-4
1.960000E-8	-6.646902E-4
1.970000E-8	-6.783952E-4
1.980000E-8	-6.030181E-4
1.990000E-8	-3.631820E-4
2.000000E-8	-7.195245E-5
2.010000E-8	2.946542E-4
2.020000E-8	5.516214E-4
2.030000E-8	5.687526E-4
2.040000E-8	3.357689E-4
2.050000E-8	-2.055900E-5
2.060000E-8	-4.385591E-4
2.070000E-8	-7.948870E-4
2.080000E-8	-9.353624E-4
2.090000E-8	-8.531329E-4
2.100000E-8	-4.899525E-4
2.110000E-8	-1.027885E-4
2.120000E-8	2.398345E-4
2.130000E-8	3.871624E-4
2.140000E-8	4.899493E-4
2.150000E-8	3.220640E-4
2.160000E-8	1.747361E-4
2.170000E-8	3.424610E-6
2.180000E-8	-1.987230E-4
2.190000E-8	-4.145755E-4
2.200000E-8	-7.332148E-4
2.210000E-8	-1.319100E-3
2.220000E-8	-2.538838E-3
2.230000E-8	-4.683658E-3
2.240000E-8	-8.003675E-3
2.250000E-8	-1.227961E-2
2.260000E-8	-1.708318E-2
2.270000E-8	-2.186620E-2
2.280000E-8	-2.567960E-2
2.290000E-8	-2.822871E-2
2.300000E-8	-2.943132E-2
2.310000E-8	-2.964717E-2
2.320000E-8	-2.934224E-2
2.330000E-8	-2.886942E-2
2.340000E-8	-2.816019E-2
2.350000E-8	-2.724538E-2
2.360000E-8	-2.595369E-2
2.370000E-8	-2.439133E-2
2.380000E-8	-2.266109E-2
2.390000E-8	-2.120494E-2
2.400000E-8	-2.001604E-2
2.410000E-8	-1.913550E-2
2.420000E-8	-1.867638E-2
2.430000E-8	-1.847423E-2
2.440000E-8	-1.846053E-2
2.450000E-8	-1.867296E-2
2.460000E-8	-1.909781E-2
2.470000E-8	-1.962202E-2
2.480000E-8	-2.030727E-2
2.490000E-8	-2.097538E-2
2.500000E-8	-2.155784E-2
2.510000E-8	-2.191074E-2
2.520000E-8	-2.184222E-2
2.530000E-8	-2.137968E-2
2.540000E-8	-2.054025E-2
2.550000E-8	-1.945071E-2
2.560000E-8	-1.809050E-2
2.570000E-8	-1.689132E-2
2.580000E-8	-1.586687E-2
2.590000E-8	-1.509940E-2
2.600000E-8	-1.464028E-2
2.610000E-8	-1.451351E-2
2.620000E-8	-1.482187E-2
2.630000E-8	-1.539405E-2
2.640000E-8	-1.643563E-2
2.650000E-8	-1.768277E-2
2.660000E-8	-1.891964E-2
2.670000E-8	-1.984130E-2
2.680000E-8	-2.024217E-2
2.690000E-8	-2.013253E-2
2.700000E-8	-1.959804E-2
2.710000E-8	-1.860100E-2
2.720000E-8	-1.744636E-2
2.730000E-8	-1.620607E-2
2.740000E-8	-1.490410E-2
2.750000E-8	-1.381113E-2
2.760000E-8	-1.287235E-2
2.770000E-8	-1.209117E-2
2.780000E-8	-1.174169E-2
2.790000E-8	-1.189587E-2
2.800000E-8	-1.268048E-2
2.810000E-8	-1.412977E-2
2.820000E-8	-1.602448E-2
2.830000E-8	-1.783353E-2
2.840000E-8	-1.916976E-2
2.850000E-8	-1.959804E-2
2.860000E-8	-1.907040E-2
2.870000E-8	-1.773074E-2
