Study Name	Beam_cont_045-04_RT_lecroy
Sample Name	2025-03-19
Run Name	spot00
Operator	Elena
Date	3/19/2025
Time	13:51
Sign	POS
Grating Spacing	03.40um
Channel	3
Number Traces	2000
Files in Batch	6
Batch Number	6
dt	100.000001E-12
time stamp (ms)	1:52:18 PM
	
Time	Amplitude
0.000000E+0	6.441349E-4
1.000000E-10	4.968070E-4
2.000000E-10	3.289217E-4
3.000000E-10	6.167575E-5
4.000000E-10	-2.261276E-4
5.000000E-10	-5.413407E-4
6.000000E-10	-8.017342E-4
7.000000E-10	-9.936031E-4
8.000000E-10	-1.017587E-3
9.000000E-10	-9.661933E-4
1.000000E-9	-8.599801E-4
1.100000E-9	-8.736850E-4
1.200000E-9	-9.387834E-4
1.300000E-9	-9.936031E-4
1.400000E-9	-9.867506E-4
1.500000E-9	-8.976687E-4
1.600000E-9	-7.195047E-4
1.700000E-9	-4.385538E-4
1.800000E-9	-1.096357E-4
1.900000E-9	2.021512E-4
2.000000E-9	3.700365E-4
2.100000E-9	3.117905E-4
2.200000E-9	1.815938E-4
2.300000E-9	-5.824230E-5
2.400000E-9	-2.364063E-4
2.500000E-9	-3.391932E-4
2.600000E-9	-2.329800E-4
2.700000E-9	-4.796361E-5
2.800000E-9	1.199217E-4
2.900000E-9	2.158561E-4
3.000000E-9	3.186430E-4
3.100000E-9	2.878069E-4
3.200000E-9	1.815938E-4
3.300000E-9	4.797083E-5
3.400000E-9	-4.796361E-5
3.500000E-9	-1.747341E-4
3.600000E-9	-3.289145E-4
3.700000E-9	-4.248489E-4
3.800000E-9	-4.967997E-4
3.900000E-9	-5.379145E-4
4.000000E-9	-4.762424E-4
4.100000E-9	-3.631768E-4
4.200000E-9	-9.250460E-5
4.300000E-9	1.130692E-4
4.400000E-9	2.980856E-4
4.500000E-9	4.556922E-4
4.600000E-9	4.042988E-4
4.700000E-9	2.569709E-4
4.800000E-9	-4.453738E-5
4.900000E-9	-2.877997E-4
5.000000E-9	-4.556850E-4
5.100000E-9	-5.276358E-4
5.200000E-9	-3.700292E-4
5.300000E-9	-9.250460E-5
5.400000E-9	3.769214E-5
5.500000E-9	9.593805E-5
5.600000E-9	1.473315E-4
5.700000E-9	2.843807E-4
5.800000E-9	3.974463E-4
5.900000E-9	5.687578E-4
6.000000E-9	6.646922E-4
6.100000E-9	6.749709E-4
6.200000E-9	6.749709E-4
6.300000E-9	5.379217E-4
6.400000E-9	4.831020E-4
6.500000E-9	5.344955E-4
6.600000E-9	6.098726E-4
6.700000E-9	6.304299E-4
6.800000E-9	5.584791E-4
6.900000E-9	4.488397E-4
7.000000E-9	4.145774E-4
7.100000E-9	5.105119E-4
7.200000E-9	6.818234E-4
7.300000E-9	9.113808E-4
7.400000E-9	1.103250E-3
7.500000E-9	1.079266E-3
7.600000E-9	8.976759E-4
7.700000E-9	4.728234E-4
7.800000E-9	8.223313E-5
7.900000E-9	-3.597505E-4
8.000000E-9	-6.852424E-4
8.100000E-9	-8.428490E-4
8.200000E-9	-7.503408E-4
8.300000E-9	-5.036522E-4
8.400000E-9	-2.192751E-4
8.500000E-9	1.404790E-4
8.600000E-9	2.398397E-4
8.700000E-9	1.713151E-4
8.800000E-9	-5.138984E-5
8.900000E-9	-3.460456E-4
9.000000E-9	-5.413407E-4
9.100000E-9	-5.002260E-4
9.200000E-9	-1.678817E-4
9.300000E-9	2.398397E-4
9.400000E-9	5.070857E-4
9.500000E-9	5.687578E-4
9.600000E-9	4.180037E-4
9.700000E-9	1.644627E-4
9.800000E-9	-7.537345E-5
9.900000E-9	-1.267669E-4
1.000000E-8	-3.422617E-6
1.010000E-8	1.199217E-4
1.020000E-8	1.507577E-4
1.030000E-8	4.111837E-5
1.040000E-8	-6.166853E-5
1.050000E-8	-1.952915E-4
1.060000E-8	-1.713079E-4
1.070000E-8	-1.027508E-5
1.080000E-8	2.055774E-4
1.090000E-8	3.803151E-4
1.100000E-8	4.693971E-4
1.110000E-8	3.734627E-4
1.120000E-8	6.852821E-5
1.130000E-8	-2.124226E-4
1.140000E-8	-4.762424E-4
1.150000E-8	-6.338489E-4
1.160000E-8	-6.749637E-4
1.170000E-8	-5.207834E-4
1.180000E-8	-1.473243E-4
1.190000E-8	2.980856E-4
1.200000E-8	6.578398E-4
1.210000E-8	7.846103E-4
1.220000E-8	7.332168E-4
1.230000E-8	4.522660E-4
1.240000E-8	1.199217E-4
1.250000E-8	-1.678817E-4
1.260000E-8	-3.494718E-4
1.270000E-8	-3.391932E-4
1.280000E-8	-2.946522E-4
1.290000E-8	-2.295538E-4
1.300000E-8	-2.501112E-4
1.310000E-8	-2.501112E-4
1.320000E-8	-2.329800E-4
1.330000E-8	-1.473243E-4
1.340000E-8	-6.848847E-6
1.350000E-8	2.398397E-4
1.360000E-8	5.242168E-4
1.370000E-8	7.400693E-4
1.380000E-8	8.394300E-4
1.390000E-8	7.777578E-4
1.400000E-8	4.933807E-4
1.410000E-8	2.466922E-4
1.420000E-8	8.223313E-5
1.430000E-8	-2.398000E-5
1.440000E-8	1.713476E-5
1.450000E-8	1.164954E-4
1.460000E-8	1.644627E-4
1.470000E-8	1.884463E-4
1.480000E-8	2.398397E-4
1.490000E-8	3.015119E-4
1.500000E-8	3.083643E-4
1.510000E-8	3.289217E-4
1.520000E-8	2.535446E-4
1.530000E-8	2.398722E-5
1.540000E-8	-2.603899E-4
1.550000E-8	-4.625374E-4
1.560000E-8	-5.756030E-4
1.570000E-8	-4.591112E-4
1.580000E-8	-2.843735E-4
1.590000E-8	-1.199144E-4
1.600000E-8	-8.222591E-5
1.610000E-8	-1.267669E-4
1.620000E-8	-2.329800E-4
1.630000E-8	-2.466849E-4
1.640000E-8	-1.438980E-4
1.650000E-8	3.429843E-6
1.660000E-8	1.130692E-4
1.670000E-8	8.565936E-5
1.680000E-8	-1.610292E-4
1.690000E-8	-4.454063E-4
1.700000E-8	-6.578326E-4
1.710000E-8	-6.920949E-4
1.720000E-8	-5.344883E-4
1.730000E-8	-2.775210E-4
1.740000E-8	3.769214E-5
1.750000E-8	1.918725E-4
1.760000E-8	1.473315E-4
1.770000E-8	-4.453738E-5
1.780000E-8	-2.843735E-4
1.790000E-8	-4.556850E-4
1.800000E-8	-5.036522E-4
1.810000E-8	-3.837341E-4
1.820000E-8	-1.850128E-4
1.830000E-8	4.111837E-5
1.840000E-8	2.912332E-4
1.850000E-8	4.762496E-4
1.860000E-8	4.728234E-4
1.870000E-8	3.254955E-4
1.880000E-8	1.267741E-4
1.890000E-8	-1.541767E-4
1.900000E-8	-3.940128E-4
1.910000E-8	-4.830948E-4
1.920000E-8	-4.077178E-4
1.930000E-8	-1.404718E-4
1.940000E-8	2.638233E-4
1.950000E-8	6.475611E-4
1.960000E-8	9.387906E-4
1.970000E-8	1.038151E-3
1.980000E-8	9.182333E-4
1.990000E-8	7.297906E-4
2.000000E-8	5.687578E-4
2.010000E-8	5.002332E-4
2.020000E-8	5.721840E-4
2.030000E-8	7.434955E-4
2.040000E-8	8.462824E-4
2.050000E-8	8.154464E-4
2.060000E-8	5.036594E-4
2.070000E-8	1.062167E-4
2.080000E-8	-3.460456E-4
2.090000E-8	-6.509801E-4
2.100000E-8	-6.201440E-4
2.110000E-8	-3.871604E-4
2.120000E-8	3.612968E-9
2.130000E-8	4.214299E-4
2.140000E-8	6.749709E-4
2.150000E-8	6.646922E-4
2.160000E-8	4.865283E-4
2.170000E-8	3.015119E-4
2.180000E-8	1.302004E-4
2.190000E-8	2.398722E-5
2.200000E-8	3.612968E-9
2.210000E-8	5.824952E-5
2.220000E-8	9.593805E-5
2.230000E-8	9.251182E-5
2.240000E-8	7.195444E-5
2.250000E-8	1.952987E-4
2.260000E-8	8.051677E-4
2.270000E-8	2.137971E-3
2.280000E-8	4.543185E-3
2.290000E-8	7.942005E-3
2.300000E-8	1.209117E-2
2.310000E-8	1.633969E-2
2.320000E-8	2.003660E-2
2.330000E-8	2.271591E-2
2.340000E-8	2.418576E-2
2.350000E-8	2.470997E-2
2.360000E-8	2.468942E-2
2.370000E-8	2.451468E-2
2.380000E-8	2.441532E-2
2.390000E-8	2.412066E-2
2.400000E-8	2.334633E-2
2.410000E-8	2.198612E-2
2.420000E-8	2.008114E-2
2.430000E-8	1.792261E-2
2.440000E-8	1.595596E-2
2.450000E-8	1.456148E-2
2.460000E-8	1.399615E-2
2.470000E-8	1.418117E-2
2.480000E-8	1.488697E-2
2.490000E-8	1.583604E-2
2.500000E-8	1.666861E-2
2.510000E-8	1.750804E-2
2.520000E-8	1.829607E-2
2.530000E-8	1.904299E-2
2.540000E-8	1.962888E-2
2.550000E-8	1.989955E-2
2.560000E-8	1.973509E-2
2.570000E-8	1.904984E-2
2.580000E-8	1.793974E-2
2.590000E-8	1.653156E-2
2.600000E-8	1.516792E-2
2.610000E-8	1.402699E-2
2.620000E-8	1.321840E-2
2.630000E-8	1.277984E-2
2.640000E-8	1.266678E-2
2.650000E-8	1.291689E-2
2.660000E-8	1.340684E-2
2.670000E-8	1.409209E-2
2.680000E-8	1.482530E-2
2.690000E-8	1.552768E-2
2.700000E-8	1.614440E-2
2.710000E-8	1.660009E-2
2.720000E-8	1.682622E-2
2.730000E-8	1.688789E-2
2.740000E-8	1.669945E-2
2.750000E-8	1.630886E-2
2.760000E-8	1.563389E-2
2.770000E-8	1.473965E-2
2.780000E-8	1.365010E-2
2.790000E-8	1.244750E-2
2.800000E-8	1.120720E-2
2.810000E-8	1.017933E-2
2.820000E-8	9.641415E-3
2.830000E-8	9.751054E-3
2.840000E-8	1.060761E-2
2.850000E-8	1.204663E-2
2.860000E-8	1.366724E-2
2.870000E-8	1.516792E-2
2.880000E-8	1.619237E-2
2.890000E-8	1.665148E-2
2.900000E-8	1.654869E-2
2.910000E-8	1.600735E-2
2.920000E-8	1.514737E-2
2.930000E-8	1.406468E-2
2.940000E-8	1.277299E-2
