Study Name	Tungsten_Calibration
Sample Name	2024-10-02
Run Name	baseline
Operator	Elena
Date	10/2/2024
Time	14:02
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	2000
Files in Batch	6
Batch Number	6
dt	100.000001E-12
time stamp (ms)	2:03:04 PM
	
Time	Amplitude
0.000000E+0	-1.456174E-3
1.000000E-10	-1.627485E-3
2.000000E-10	-1.704575E-3
3.000000E-10	-2.523442E-3
4.000000E-10	-2.893474E-3
5.000000E-10	-3.840823E-3
6.000000E-10	-4.938927E-3
7.000000E-10	-5.266131E-3
8.000000E-10	-5.689269E-3
9.000000E-10	-5.010878E-3
1.000000E-9	-4.250257E-3
1.100000E-9	-4.041257E-3
1.200000E-9	-2.360696E-3
1.300000E-9	-1.159806E-3
1.400000E-9	-3.086673E-5
1.500000E-9	-4.916933E-4
1.600000E-9	-5.687833E-4
1.700000E-9	-3.460790E-4
1.800000E-9	-1.576092E-3
1.900000E-9	-3.181276E-3
2.000000E-9	-4.262248E-3
2.100000E-9	-5.466565E-3
2.200000E-9	-5.516245E-3
2.300000E-9	-5.944522E-3
2.400000E-9	-4.323920E-3
2.500000E-9	-3.544455E-3
2.600000E-9	-2.636507E-3
2.700000E-9	-1.610354E-3
2.800000E-9	-1.327691E-3
2.900000E-9	-9.165446E-4
3.000000E-9	-4.934064E-4
3.100000E-9	-5.499391E-4
3.200000E-9	-1.475018E-3
3.300000E-9	-3.337169E-3
3.400000E-9	-4.558616E-3
3.500000E-9	-5.322664E-3
3.600000E-9	-6.465308E-3
3.700000E-9	-6.093563E-3
3.800000E-9	-4.822435E-3
3.900000E-9	-3.674652E-3
4.000000E-9	-2.665630E-3
4.100000E-9	-1.564100E-3
4.200000E-9	-8.291760E-4
4.300000E-9	-1.187216E-3
4.400000E-9	-9.713641E-4
4.500000E-9	-5.567915E-4
4.600000E-9	-1.118692E-3
4.700000E-9	-1.853616E-3
4.800000E-9	-3.316612E-3
4.900000E-9	-5.062271E-3
5.000000E-9	-5.118803E-3
5.100000E-9	-5.183902E-3
5.200000E-9	-5.362065E-3
5.300000E-9	-4.424994E-3
5.400000E-9	-3.522185E-3
5.500000E-9	-2.083173E-3
5.600000E-9	-1.086142E-3
5.700000E-9	-1.030941E-5
5.800000E-9	-4.265951E-4
5.900000E-9	-5.173900E-4
6.000000E-9	-9.456675E-4
6.100000E-9	-1.786804E-3
6.200000E-9	-3.239522E-3
6.300000E-9	-4.625428E-3
6.400000E-9	-5.793769E-3
6.500000E-9	-5.735523E-3
6.600000E-9	-5.163344E-3
6.700000E-9	-4.289658E-3
6.800000E-9	-4.039544E-3
6.900000E-9	-3.369718E-3
7.000000E-9	-2.441213E-3
