Study Name	Tungsten_Calibration
Sample Name	2024-10-02
Run Name	baseline
Operator	Elena
Date	10/2/2024
Time	14:02
Sign	NEG
Grating Spacing	03.40um
Channel	3
Number Traces	2000
Files in Batch	6
Batch Number	1
dt	100.000001E-12
time stamp (ms)	2:02:14 PM
	
Time	Amplitude
0.000000E+0	1.610339E-3
1.000000E-10	2.119132E-3
2.000000E-10	1.665158E-3
3.000000E-10	5.739070E-4
4.000000E-10	2.826783E-4
5.000000E-10	7.196581E-5
6.000000E-10	1.593344E-4
7.000000E-10	-2.569513E-4
8.000000E-10	-7.126386E-4
9.000000E-10	6.355790E-4
1.000000E-9	1.742248E-3
1.100000E-9	2.977400E-3
1.200000E-9	2.722147E-3
1.300000E-9	2.639918E-3
1.400000E-9	1.767945E-3
1.500000E-9	2.203075E-3
1.600000E-9	1.577790E-3
1.700000E-9	8.377260E-4
1.800000E-9	4.471369E-4
1.900000E-9	2.244326E-4
2.000000E-9	1.165067E-4
2.100000E-9	-4.966500E-5
2.200000E-9	1.518652E-8
2.300000E-9	6.338659E-4
2.400000E-9	1.920412E-3
2.500000E-9	2.220206E-3
2.600000E-9	2.833499E-3
2.700000E-9	1.898141E-3
2.800000E-9	1.541814E-3
2.900000E-9	2.098575E-3
3.000000E-9	2.492590E-3
3.100000E-9	2.520000E-3
3.200000E-9	7.863327E-4
3.300000E-9	4.043091E-4
3.400000E-9	1.302115E-4
3.500000E-9	-9.763208E-5
3.600000E-9	-3.237626E-4
3.700000E-9	5.636284E-4
3.800000E-9	1.601773E-3
3.900000E-9	3.003097E-3
4.000000E-9	2.747844E-3
4.100000E-9	2.434345E-3
4.200000E-9	2.257894E-3
4.300000E-9	2.410361E-3
4.400000E-9	2.610795E-3
4.500000E-9	1.550380E-3
4.600000E-9	4.933909E-4
4.700000E-9	4.231534E-4
4.800000E-9	-1.867138E-4
4.900000E-9	-3.768690E-4
5.000000E-9	-5.276227E-4
5.100000E-9	-1.301812E-4
5.200000E-9	6.903985E-4
5.300000E-9	2.358968E-3
5.400000E-9	2.679319E-3
5.500000E-9	2.770114E-3
5.600000E-9	2.263034E-3
5.700000E-9	2.090009E-3
5.800000E-9	1.764518E-3
5.900000E-9	1.709699E-3
6.000000E-9	1.065570E-3
6.100000E-9	5.293662E-4
6.200000E-9	2.586948E-4
6.300000E-9	-6.165677E-5
6.400000E-9	2.467030E-4
6.500000E-9	-5.961471E-4
6.600000E-9	3.289323E-4
6.700000E-9	1.038160E-3
6.800000E-9	2.660475E-3
6.900000E-9	2.636491E-3
7.000000E-9	2.502869E-3
7.100000E-9	2.941425E-3
7.200000E-9	2.403509E-3
7.300000E-9	2.269886E-3
7.400000E-9	1.845035E-3
