Study Name	Tungsten_Calibration
Sample Name	2024-10-02
Run Name	baseline_10000
Operator	Elena
Date	10/2/2024
Time	14:03
Sign	NEG
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	100.000001E-12
time stamp (ms)	2:03:51 PM
	
Time	Amplitude
0.000000E+0	1.647850E-3
1.000000E-10	1.224751E-3
2.000000E-10	5.978112E-4
3.000000E-10	5.755428E-4
4.000000E-10	6.577644E-4
5.000000E-10	8.975774E-4
6.000000E-10	6.252184E-4
7.000000E-10	1.027762E-3
8.000000E-10	1.606739E-3
9.000000E-10	1.956181E-3
1.000000E-9	2.041828E-3
1.100000E-9	1.978449E-3
1.200000E-9	2.029837E-3
1.300000E-9	1.889376E-3
1.400000E-9	1.942477E-3
1.500000E-9	1.505675E-3
1.600000E-9	7.091529E-4
1.700000E-9	3.888313E-4
1.800000E-9	7.142918E-4
1.900000E-9	5.173025E-4
2.000000E-9	5.361450E-4
2.100000E-9	7.382731E-4
2.200000E-9	1.219612E-3
2.300000E-9	1.459425E-3
2.400000E-9	1.819145E-3
2.500000E-9	2.225114E-3
2.600000E-9	2.079513E-3
2.700000E-9	1.987014E-3
2.800000E-9	1.861968E-3
2.900000E-9	1.464564E-3
3.000000E-9	8.821609E-4
3.100000E-9	4.110996E-4
3.200000E-9	6.235054E-4
3.300000E-9	3.939701E-4
3.400000E-9	4.367939E-4
3.500000E-9	7.228565E-4
3.600000E-9	1.116835E-3
3.700000E-9	1.324102E-3
3.800000E-9	1.822570E-3
3.900000E-9	1.990440E-3
4.000000E-9	2.009282E-3
4.100000E-9	1.755765E-3
4.200000E-9	1.904792E-3
4.300000E-9	1.851691E-3
4.400000E-9	1.248732E-3
4.500000E-9	6.971623E-4
4.600000E-9	8.941515E-4
4.700000E-9	9.626695E-4
4.800000E-9	8.821609E-4
4.900000E-9	7.896616E-4
5.000000E-9	9.472530E-4
5.100000E-9	1.375490E-3
5.200000E-9	1.769469E-3
5.300000E-9	2.231966E-3
5.400000E-9	1.911644E-3
5.500000E-9	1.976736E-3
5.600000E-9	2.021273E-3
5.700000E-9	2.024699E-3
5.800000E-9	1.168224E-3
5.900000E-9	8.239206E-4
6.000000E-9	4.693399E-4
6.100000E-9	7.160047E-4
6.200000E-9	5.429968E-4
6.300000E-9	5.755428E-4
6.400000E-9	1.163085E-3
6.500000E-9	1.269288E-3
6.600000E-9	1.462851E-3
6.700000E-9	1.843126E-3
6.800000E-9	2.209697E-3
6.900000E-9	2.031550E-3
7.000000E-9	1.911644E-3
7.100000E-9	2.195994E-3
7.200000E-9	1.791737E-3
7.300000E-9	1.329241E-3
7.400000E-9	7.622544E-4
7.500000E-9	5.755428E-4
7.600000E-9	7.554026E-4
7.700000E-9	7.605414E-4
7.800000E-9	5.001730E-4
